BaseUrl,IsInStock,MPN,Model,PriceIncTax,QuantityAvailable,SKU,ShopSourceID,Title,Url
umart.com.au,false,MXWT2X/A,MXWT2X/A,"2,599.0",Null,56433,,Apple 27in iMac 2020 - Retina 5k 3.1GHz 10th Gen Intel i5 256GB (MXWT2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-27in-iMac-2020---Retina-5k-3-1GHz-10th-Gen-Intel-i5-256GB--MXWT2X-A_56433G.html
umart.com.au,false,MY2H2X/A,MY2H2X/A,"1,649.0",Null,54656,,Apple 12.9 inch iPad Pro - WiFi 128GB - Space Grey (MY2H2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---WiFi-128GB---Space-Grey--MY2H2X-A_54656G.html
umart.com.au,false,MY2J2X/A,MY2J2X/A,"1,649.0",Null,54657,,Apple 12.9 inch iPad Pro - WiFi 128GB - Silver (MY2J2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---WiFi-128GB---Silver--MY2J2X-A_54657G.html
umart.com.au,false,MYFY2X/A,MYFY2X/A,"1,129.0",Null,57134,,Apple 10.9 inch iPad Air - WiFi 256GB - Sky Blue (MYFY2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-10-9-inch-iPad-Air---WiFi-256GB---Sky-Blue--MYFY2X-A_57134G.html
umart.com.au,false,MQGJ2FE/A,MQGJ2FE/A,26.0,Null,53066,,Apple USB C to Lightning 1m Sync/Charge Cable (MQGJ2FE/A),https://www.umart.com.au/https://www.umart.com.au/Apple-USB-C-to-Lightning-1m-Sync-Charge-Cable--MQGJ2FE-A_53066G.html
umart.com.au,false,MU172X/A,MU172X/A,"1,669.0",Null,48249,,Apple MU172X/A 11-inch iPad Pro Wi-Fi + Cellular 256GB Silver,https://www.umart.com.au/https://www.umart.com.au/Apple-MU172X-A-11-inch-iPad-Pro-Wi-Fi-+-Cellular-256GB-Silver_48249G.html
umart.com.au,false,MUX62X/A,MUX62X/A,799.0,Null,51714,,Apple 7.9 inch iPad mini - WiFi + Cellular 64GB - Silver (MUX62X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-7-9-inch-iPad-mini---WiFi-+-Cellular-64GB---Silver--MUX62X-A_51714G.html
umart.com.au,false,MUXE2X/A,MUXE2X/A,"1,019.0",Null,51712,,Apple 7.9 inch iPad mini - WiFi + Cellular 256GB - Gold (MUXE2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-7-9-inch-iPad-mini---WiFi-+-Cellular-256GB---Gold--MUXE2X-A_51712G.html
umart.com.au,false,MUX52X/A,MUX52X/A,799.0,Null,51713,,Apple 7.9 inch  iPad mini - WiFi + Cellular 64GB - Space Grey (MUX52X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-7-9-inch--iPad-mini---WiFi-+-Cellular-64GB---Space-Grey--MUX52X-A_51713G.html
umart.com.au,false,MUU32X/A,MUU32X/A,819.0,Null,50748,,Apple 7.9 inch iPad Mini - WiFi 256GB - Space Grey (MUU32X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-7-9-inch-iPad-Mini---WiFi-256GB---Space-Grey--MUU32X-A_50748G.html
umart.com.au,false,MTXU2X/A,MTXU2X/A,"1,578.0",Null,48089,,Apple MTXU2X/A 11-inch iPad Pro Wi-Fi 512GB Silver,https://www.umart.com.au/https://www.umart.com.au/Apple-MTXU2X-A-11-inch-iPad-Pro-Wi-Fi-512GB-Silver_48089G.html
umart.com.au,false,MR932X/A,MR932X/A,"3,254.0",Null,44648,,Apple 15in MacBook Pro 2018 - 2.2GHz Intel i7 256GB - Space Grey (MR932X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-15in-MacBook-Pro-2018---2-2GHz-Intel-i7-256GB---Space-Grey--MR932X-A_44648G.html
umart.com.au,false,MUU52X/A,MUU52X/A,818.0,Null,50663,,Apple 7.9 inch iPad Mini - WiFi 256GB - Silver (MUU52X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-7-9-inch-iPad-Mini---WiFi-256GB---Silver--MUU52X-A_50663G.html
umart.com.au,false,MUX72X/A,MUX72X/A,799.0,Null,51715,,Apple 7.9 inch iPad mini - WiFi + Cellular 64GB - Gold (MUX72X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-7-9-inch-iPad-mini---WiFi-+-Cellular-64GB---Gold--MUX72X-A_51715G.html
umart.com.au,false,MTXN2X/A,MTXN2X/A,"1,186.0",Null,48084,,Apple MTXN2X/A 11-inch iPad Pro Wi-Fi 64GB Space Grey,https://www.umart.com.au/https://www.umart.com.au/Apple-MTXN2X-A-11-inch-iPad-Pro-Wi-Fi-64GB-Space-Grey_48084G.html
umart.com.au,false,MTJ62X/A,MTJ62X/A,"1,889.0",Null,48079,,Apple MTJ62X/A 12.9-inch iPad Pro Wi-Fi + Cellular 256GB Silver,https://www.umart.com.au/https://www.umart.com.au/Apple-MTJ62X-A-12-9-inch-iPad-Pro-Wi-Fi-+-Cellular-256GB-Silver_48079G.html
umart.com.au,false,MTJV2X/A,MTJV2X/A,"2,569.0",Null,48083,,Apple MTJV2X/A 12.9-inch iPad Pro Wi-Fi + Cellular 1TB Silver,https://www.umart.com.au/https://www.umart.com.au/Apple-MTJV2X-A-12-9-inch-iPad-Pro-Wi-Fi-+-Cellular-1TB-Silver_48083G.html
umart.com.au,false,MTFP2X/A,MTFP2X/A,"1,999.0",Null,48072,,Apple MTFP2X/A 12.9-inch iPad Pro Wi-Fi 512GB Space Grey,https://www.umart.com.au/https://www.umart.com.au/Apple-MTFP2X-A-12-9-inch-iPad-Pro-Wi-Fi-512GB-Space-Grey_48072G.html
umart.com.au,false,MTHV2X/A,MTHV2X/A,"1,959.0",Null,48078,,Apple MTHV2X/A 12.9-inch iPad Pro Wi-Fi + Cellular 256GB Space Grey,https://www.umart.com.au/https://www.umart.com.au/Apple-MTHV2X-A-12-9-inch-iPad-Pro-Wi-Fi-+-Cellular-256GB-Space-Grey_48078G.html
umart.com.au,false,MTHJ2X/A,MTHJ2X/A,"1,699.0",Null,48076,,Apple MTHJ2X/A 12.9-inch iPad Pro Wi-Fi + Cellular 64GB Space Grey,https://www.umart.com.au/https://www.umart.com.au/Apple-MTHJ2X-A-12-9-inch-iPad-Pro-Wi-Fi-+-Cellular-64GB-Space-Grey_48076G.html
umart.com.au,false,MXDC2X/A,MXDC2X/A,"1,459.0",Null,54582,,Apple 11 inch iPad Pro - WiFi 256GB - Space Grey (MXDC2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---WiFi-256GB---Space-Grey--MXDC2X-A_54582G.html
umart.com.au,false,MJ1M2AM/A,MJ1M2AM/A,28.0,Null,45757,,Apple MJ1M2AM/A USB-C Male to USB-A Female Adaptor,https://www.umart.com.au/https://www.umart.com.au/Apple-MJ1M2AM-A-USB-C-Male-to-USB-A-Female-Adaptor_45757G.html
umart.com.au,false,MYH52X/A,MYH52X/A,"1,329.0",Null,57138,,Apple 10.9 inch iPad Air - WiFi + Cellular 256GB - Rose Gold (MYH52X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-10-9-inch-iPad-Air---WiFi-+-Cellular-256GB---Rose-Gold--MYH52X-A_57138G.html
umart.com.au,false,MXF62X/A,MXF62X/A,"1,829.0",Null,54589,,Apple 12.9 inch iPad Pro - WiFi + Cellular 256GB - Silver (MXF62X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---WiFi-+-Cellular-256GB---Silver--MXF62X-A_54589G.html
umart.com.au,false,MHNH3X/A,MHNH3X/A,"1,799.0",Null,59183,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 256GB - Space Grey (MHNH3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-256GB---Space-Grey--MHNH3X-A_59183G.html
umart.com.au,false,MYH22X/A,MYH22X/A,"1,329.0",Null,57136,,Apple 10.9 inch iPad Air - WiFi + Cellular 256GB - Space Grey (MYH22X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-10-9-inch-iPad-Air---WiFi-+-Cellular-256GB---Space-Grey--MYH22X-A_57136G.html
umart.com.au,false,MHNF3X/A,MHNF3X/A,"1,649.0",Null,59181,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 128GB - Space Grey (MHNF3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-128GB---Space-Grey--MHNF3X-A_59181G.html
umart.com.au,false,MYFQ2X/A,MYFQ2X/A,899.0,Null,57124,,Apple 10.9 inch iPad Air - WiFi 64GB - Sky Blue (MYFQ2X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-10-9-inch-iPad-Air---WiFi-64GB---Sky-Blue--MYFQ2X-A_57124G.html
umart.com.au,false,MYH72X/A,MYH72X/A,"1,329.0",Null,57140,,Apple 10.9 inch iPad Air - WiFi + Cellular 256GB - Green (MYH72X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-10-9-inch-iPad-Air---WiFi-+-Cellular-256GB---Green--MYH72X-A_57140G.html
